property_name,property_price,property_area,property_size,property_img,property_des,property_year_bulding
West Village Lofts,$612(past 365 days),Briar Hill-Belgravia,"662-1,508 sqft",https://shared-s3.property.ca/public/images/buildings/138/west-village-lofts-original-4.jpg,"West Village Lofts was developed by Stafford Home Ltd. in 2006. This Toronto loft sits near Dufferin St and Roselawn Ave, in York Crosstown's Briar Hill-Belgravia neighbourhood. West Village Lofts is a 3 storey loft, located at 550 Hopewell Avenue. There are suites ranging in size from 662 to 1508 sqft. This Toronto loft has 29 units. Amenities here include a BBQ Permitted, Parking Garage, Elevator and Visitor Parking as well as a Security System. Included in your monthly loft maintenance fees are Common Element, Building Insurance, Water and Parking. ",14 years
Soho Bayview Lofts,$660(past 365 days),Mount Pleasant East,"453-1,171 sqft",https://shared-s3.property.ca/public/images/buildings/162/soho-bayview-lofts-original-2.jpg,"Overview
Formerly an office building, the SoHo Bayview Lofts at 562 Eglinton were converted into a loft building in 2002. This low-rise Toronto condo for sale features just 45 units, an appealing feature for buyers wanting to experience an exclusive escape in the heart of the city’s desirable Yonge and Eglinton district. The SoHo Bayview Avenue Lofts are just a short stroll from a vibrant array of specialty and antique stores and an abundance of parks, restaurants and cosy pubs.
Plenty of parking: This Toronto condo features something rarely seen in today’s condos: owned underground parking.
Suite sizes and layouts: With suites ranging from just under 500 square feet to over 1,200 square feet, these open concept layouts offer a breakfast bar and bathrooms with marble tile and countertops.
A host of amenities: This Toronto condo’s many amenities include a games room, a party room for entertaining friends and a top-of-the-line fitness facility.
Your favourite books: For those residents who love to read, there’s even a library, so you can check out a book and relax on the building’s expansive landscaped terrace.
A taste of nature: Residents can take advantage of this building’s proximity to several green spaces, including Serena Gundy, Trce Manes and Howard Talbot Parks.",18 years
Liv Lofts,$975(past 365 days),Banbury | Don Mills,"394-1,325 sqft",https://shared-s3.property.ca/public/images/buildings/209/liv-lofts-original-3.jpg,"These high-rise Toronto condos were built in 2015 by Cadillac Fairview. Located in North York's Banbury-Don Mills neighbourhood, the nearest main intersection to Liv Lofts is The Donway West & Overland Dr. This Toronto condo can be found at 75 The Donway West and has 171 condo units. Spread out over 14 floors, Liv Lofts has suites ranging in size from 394 to 1325 square feet, with many different layouts and exposures. Residents of this condo can enjoy amenities like a Gym / Exercise Room, Common Rooftop Deck, Concierge and a Party Room, along with BBQs, Bicycle Parking, Guest Suites, Hot Tub / Jacuzzi, Media Room / Cinema, Meeting / Function Room, Parking Garage, Games / Recreation Room, Security Guard and an Enter Phone System. Monthly maintenance fees include Air Conditioning, Common Element Maintenance, Heat, Building Insurance and Water.",6 years
Beach Club Lofts,$960(past 365 days),The Beaches,"457-1,565 sqft",https://shared-s3.property.ca/public/images/buildings/212/beach-club-lofts-original-2.jpg,"From Beach Club Lofts; Unequivocally modern, exceptionally styled and undoubtedly unique – that is The Beach Club, one of the last opportunities to live within Toronto’s Beach community. Thoughtful design incorporates soaring 9 ft. to 17 ft. ceilings and glass walls into spacious units with spectacular lake and city views. The windows at the front of the building are subtly angled to create a curving ripple effect that evokes the gentle play of waves on water. The Beach Club is modest in scale, on midrise of six storey offering one and two storey modern lofts with juliets, large balconies and oversized terraces.",5 years
IT Lofts,"$1,279(past 365 days)",Dufferin Grove,"578-1,282 sqft",https://shared-s3.property.ca/public/images/buildings/223/it-lofts-130-rusholm-rd-original-4.jpg,"IT Lofts: Say ciao to la dolce vita in downtown’s favourite neighbourhood. Rising seven storeys above the stylish streets of Toronto’s Little Italy, IT Lofts put you at the centre of vibrant city living. Great nightlife, beautiful residential streets, and charming shops, cafes and restaurants offer a modern European vibe you won’t find anywhere else in Toronto. IT’s the ideal place to live, work and play, all within blocks of home. In fact, IT’s the perfect place to call home.
IT Lofts was developed by Worsley Urban Partners in 2014, this Boutique Toronto condo sits near College St & Havelock St, in West End's Dufferin Grove neighbourhood. Located at 996 College St this Toronto condo has suites ranging from 517 to 1555 sqft. There are 56 units at IT Lofts, with a variety of exposures and layouts over 7levels. Your monthly condo fees cover Common Element Maintenance and Building Insurance. IT Lofts's amenities include a Party Room and a Games / Recreation Room.",4 years
Westside Gallery Lofts,$922(past 365 days),Little Portugal,329-979 sqft,https://shared-s3.property.ca/public/images/buildings/234/westside-gallery-lofts-150-sudbury-st-original-5.jpg,"Overview Found on Sudbury Street just south of Queen Street West, Westside Gallery Lofts is a soft loft residence in Toronto’s Little Portugal. This mid-rise building shares thas steel and glass exterior with bright redbrick accents and offers 369 West End condos for sale and for rent. Designed as modern soft-lofts, these Toronto condos feature interior styles such as nine-foot ceilings with exposed concrete and ductwork, a mix of hardwood or concrete floors, bright floor-to-ceiling windows, and walk out balconies. With a host of enjoyable amenities, these are great suites for the urban live/work lifestyle, with enough space to entertain friends, enjoy cooking a delicious meal, and do some work from home. At home in Little Portugal, residents have many cafes and shops to explore, plus it’s not far to King Street West and Liberty Village, with Queen Street TTC just a short walk away. Most Notable Features Queen West style: With Queen Street West just a five-minute walk away and places like The Drake Hotel, Brooklynn Bar, Savoy Restaurant, and a bevvy of others nearby, residents at Westside Gallery Lofts will be immersed in the hip, Queen West style with a beautiful loft-style condo to match it. On-site management: A great convenience about Westside Gallery Lofts is the presence of building management actually on the property. With a condo, it is really nice having someone on-hand that can answer your questions, deal with any problems, and help you use the amenities. Fitness fans welcome: Calling all fitness fans! The amenities at Westside Gallery Lofts feature a fully stocked fitness facility with a yoga studio and a swimming pool, plus a relaxing sauna. Staying in shape has never been easier!",9 years
383 Sorauren,"$1,123(past 365 days)",Roncesvalles,"456-1,546 sqft",https://shared-s3.property.ca/public/images/buildings/241/383-sorauren-original-3.jpg,"Found in Toronto's Roncesvalles area and built in 2016 , 383 Sorauren was built by Gairloch. This Toronto loft sits near the intersection of College St and Dundas St W. 383 Sorauren is a Mid-Rise loft located in the Roncesvalles neighbourhood. Spread out over 9 stories, suites at 383 Sorauren range in size from 456 to 1546 sqft. This Toronto loft has 142 loft units and can be found at 383 Sorauren Avenue. Amenities here include a Gym, Guest Suites, Concierge and Bike Storage as well as a Rooftop Deck, Party Room, FibreStream Internet, Visitor Parking, Security System and Meeting Room. Included in your monthly loft maintenance fees are Air Conditioning, Common Element, Heat, Building Insurance, Parking and Water.",5 years
The Glen Condos,$909(past 365 days),East End-Danforth,"530-1,511 sqft",https://shared-s3.property.ca/public/images/buildings/247/the-glen-condos-original-1.jpg,"Located in the Danforth neighbourhood, The Glen Condos is a 6-storey condo and loft building, located at The Glen Condos. Suites range in size from 530 to 1511 sqft, totalling 42 units. The Glen Condos offers it's residents amenities such as a Party Room, Visitor Parking, BBQs and a Business Centre. Air Conditioning, Common Element Maintenance, Heat, Building Insurance and Water are included in your monthly maintenance fees. There is a lot on offer around The Glen Condos. Some good places to grab a bite are Seaspray Restaurant and Kingston Gourmet. Venture a little further for a meal at Star Of Kingston, Cool Runnings Restaurant. If you love coffee, you're not too far from Starbucks. Groceries can be found at Beach Food Mart which is nearby and you'll find Main Medical Dispensary only a few minutes walk away as well. Gallery Cobalt is only a short distance away from this loft building if you love art. Love being outside? Look no further than Love Crescent Parkette, Norwood Park or Glen Stewart Park, which are a 4-minute walk from this condo and loft building.",5 years
Port Royal Place Ⅵ,$795(past 365 days),Islington | City Centre West,546-885 sqft,https://shared-s3.property.ca/public/images/buildings/314/port-royal-place-6-5-michael-power-pl-original-2.jpg,"Found in Toronto's Islington | City Centre West area and built in 2009 , Port Royal Place Ⅵ was built by Pemberton Group. This Toronto condo sits near the intersection of Bloor St and Dunbloor Rd. Port Royal Place Ⅵ is a High-Rise condo located in the Islington | City Centre West neighbourhood. Port Royal Place Ⅵ is a 24 storey condo, located at 5 Michael Power Place. There are suites ranging in size from 546 to 885 sqft. This Toronto condo has 207 units. Residents of this condo can enjoy amenities like a Party Room, Meeting Room, Visitor Parking and Concierge, along with a Security Guard, Bike Storage, Security System, Gym, Games Room, FibreStream Internet, Rec Room and Parking Garage. Monthly maintenance fees include Common Element, Heat, Building Insurance, Parking, Water and Air Conditioning. ",12 years
Encore Condos,"$1,000(past 365 days)",Church St. Corridor,"356-1,821 sqft",https://shared-s3.property.ca/public/images/buildings/350/encore-condos-25-carlton-st-original-3.jpg,"Overview Found on Carlton Street near Yonge, Encore Condos was built after the popularity of The Met, which stands next door. With similar designs, Encore Condos stands at 33-storeys of concrete and tinted-glass with a sleek curved façade. Home to over 330 Church Street Corridor condos for sale and for rent, the suites range in size from bachelor apartments to two-bedrooms plus den. You should expect open concept kitchen and living areas, floor-to-ceiling windows, stainless steel appliances, ensuite laundry, spacious balconies, plus an exciting list of amenities including a swimming pool, movie theatre, and rooftop BBQ deck. At home in Toronto’s Church Street Corridor, a colourful city experience surrounds you from Church Street restaurants and clubs, Yonge-Dundas Square nightlife, the Eaton Centre, Ryerson University, and hop on TTC access to both Yorkville shopping and Queen Street’s exciting music scene. Most Notable Features Ideal for students: With a wide variety of suite options from bachelor apartments to two-bedrooms, matched with a prime location near both U of T and Ryerson, Encore Condos makes sense for student residents. Whether you want to live solo or with a few roommates, you’re bound to find a suitable place at Encore Condos. Ground-floor convenience: A nice perk of Encore Condos is the convenience of ground-floor commercial space. You’ll find that the street level offers a row of outlets including a printing shop, dentist clinic, a beauty salon, plus a Subway Restaurant, and Cora breakfast diner. Super close to TTC: With Carlton Street on your doorstep, residents at Encore Condos are super close to TTC travel routes. The College/Carlton Street streetcar can zip you along to east and west destinations, plus your five minutes from the Yonge-University subway line for all your north and south bound journeys. You will love this perk in the winter!",13 years
